oid,organization,idate,county,outreachsite,activity,activityspecify,maleadult,maleyouth,femaleadult,femaleyouth,discussiontopic,flyers,brochures,posters,booklets,stickers,others
5A0A3F20-86FE-45B6-8B53-BC372162DD25,FHOK=1,24/03/2014,SIAYA,,2=Womens Group Meetings,,0,0,20,15,CERVICAL CANCER SCREENING,0,0,0,0,0,0
8B22B953-4375-4AE2-BC32-BC38B67938B7,FHOK=1,29/03/2013,SIAYA,SINANI E LWENY,1=Comunity Meeting/Barazas,,12,15,0,0,YOUTH EMPOWERMENT,0,0,0,0,0,0
3E2CDCA4-41FA-4DAB-9C7F-BC3B3DC11CD5,MSK=2,14/02/2014,BUTULA,ST MARYS MUGULI,2=Womens Group Meetings,,7,0,16,0,FP,0,0,0,0,0,0
94EC0C7B-1FCD-46B3-BC96-BC3E0F7239C5,FHOK=1,16/06/2013,SIAYA,URANGA,2=Womens Group Meetings,,0,0,16,4,F/P,0,0,0,0,0,0
3637E2CF-927F-4F6F-8380-BC3EF0CFDC5F,MSK=2,02/09/2013,TESO SOUTH,APEGEI,2=Womens Group Meetings,,2,1,17,1,FP METHODS,0,0,0,0,0,0
6D26EFB7-9752-4B00-BEE8-BC4565FD4D04,FHOK=1,17/07/2014,BONDO,UHASI,2=Womens Group Meetings,,0,0,15,5,"FAMILY PLANNING , HOSPITAL DELIVERY",0,0,0,0,0,0
15C89F00-76E8-44B5-8A04-BC458F81D9E8,FHOK=1,15-05-2015,BONDO,NYANGERA,3=Youth Groups,,0,0,4,11,FP,0,0,0,0,0,0
9B5CB3D4-7731-44C5-8F7A-BC45E65D95EA,FHOK=1,26/08/2013,SIAYA,MISSING,2=Womens Group Meetings,,14,2,10,0,BENEFITS OF FP,0,0,0,0,0,0
0B288200-2D90-4237-99C5-BC460D32E793,FHOK=1,27/06/2014,SIAYA,UYEMBO,2=Womens Group Meetings,,0,0,20,0,FP,0,0,0,0,0,0
B53A2E08-EA06-43DA-B325-BC4C09E064CF,FHOK=1,27/03/2014,SIAYA,WOMEN GROUP,2=Womens Group Meetings,,0,0,26,4,BENEFITS OF LONG TERM FP,0,0,0,0,0,0
63A62B2B-4511-4652-9EB2-BC525A9C302C,MSK=2,22/10/2013,NAMBALE,MUNGATSI,3=Youth Groups,,13,3,13,3,FAMILY PLANNING,0,0,0,0,0,0
B4DD56C8-9A69-4ADD-9AD2-BC699D84693F,FHOK=1,16/04/2015,SIAYA,OCHORO,3=Youth Groups,,10,14,15,20,FP,0,0,0,0,0,0
993BA7E4-1C13-4009-A093-BC6AF952FB60,MSK=2,02/05/2014,BUSIA,BUSIBWABO DISPENSARY,6=Other(Specify),,8,14,24,20,FP,0,0,0,0,0,0
0BA0231E-BC21-4657-80B9-BC7084638C4C,MSK=2,07/02/2013,BUTULA,BUMALA B H/C,6=Other(Specify),TUMAINI SUPPORT GROUP,10,0,20,0,IUCD AND CONDOM,0,0,0,0,0,0
9D2A368B-07D4-46FC-82AF-BC71014C0F3D,FHOK=1,02-03-2015,BONDO,OKOLA PRI,1=Comunity Meeting/Barazas,,20,3,34,5,CONDOM,12,10,2,0,3,0
51F7D005-03F2-46C6-9DE6-BC7204F008DD,MSK=2,14-09-2014,NAMBALE,MAIRA CHURCH,2=Womens Group Meetings,,21,14,34,16,IMPORTANCE OF MODERN FP,0,0,0,0,0,0
227D9C09-D1FC-469B-9DD2-BC83D2ECAAC3,MSK=2,01/12/2014,TESO NORTH,ANGURAI,6=Other(Specify),ANGURAI MCH,0,0,26,4,F/P,0,0,0,0,0,0
3644D9BC-2CF6-4D5B-9725-BC8665241D53,MSK=2,28/02/2014,BONDO,BENTER AWINO,2=Womens Group Meetings,,0,0,15,2,FAMILY PLANNING,0,0,0,0,0,0
DEC83940-5FB1-4006-B7C3-BC898F96CD04,FHOK=1,28/02/2014,BONDO,NDIRA PRI,6=Other(Specify),,50,60,100,50,FP,0,0,0,0,0,0
96CBC4F1-9A2B-419A-BA04-BC89CEA68894,MSK=2,20/01/2015,TESO NORTH,KARE-KIPI,1=Comunity Meeting/Barazas,,17,11,24,4,F/P,0,0,0,0,0,0
784E8B6D-41D3-49A3-855B-BC8E5FD0D5A9,MSK=2,15/09/2012,SAMIA,AGENGA,3=Youth Groups,,0,8,0,12,ABOUT PILLS AND HOW IT WORKS,0,0,4,0,0,0
47A6E0AA-B17C-4A2D-8346-BC90FB864DBD,MSK=2,08/11/2014,BUSIA,SPECIAL PROGRAME,1=Comunity Meeting/Barazas,,10,7,24,30,FP,0,0,0,0,0,0
C0DE115B-A1F8-435E-A08D-BC923FD223EB,MSK=2,26/10/2014,TESO SOUTH,OJAMII CATHOLIC CHURCH,6=Other(Specify),CHURCH SERVICE,0,0,52,8,FP AND GOOD HYGIENE,0,0,0,0,0,0
30A2FB25-F89D-4A99-9F99-BC9681DE5E9D,FHOK=1,19/01/2015,BONDO,CHIEFS CAMP,1=Comunity Meeting/Barazas,,24,10,19,9,TYPES OF FP,0,0,0,0,0,0
7D212BEE-67EF-4232-B056-BC9A92D37DBF,FHOK=1,25/06/2014,SIAYA,MISSING,3=Youth Groups,,54,16,61,27,FP,0,0,0,0,0,0
09CD6D02-CA9A-49F2-B8E4-BCA21082D375,FHOK=1,09/01/2014,BONDO,HENRY ANYANGO'S HOME,2=Womens Group Meetings,,4,2,8,4,EXCLUSIVE BREAST FEEDING,0,0,0,0,0,0
53666923-BCFA-49E5-8F41-BCA485A32471,MSK=2,29/09/2014,SAMIA,SIGULU,1=Comunity Meeting/Barazas,,17,9,11,6,F/P,0,0,0,0,0,0
77F6A5BC-4CB8-4BBC-A8BC-BCAE78BC74B9,MSK=2,16/03/2013,BUSIA,NAMBERE,3=Youth Groups,,0,9,0,4,GENDER EQUILITY,0,0,7,0,0,0
68DB3AFB-1BFD-4CA2-82FA-BCB1B06551A8,FHOK=1,15/04/2015,BONDO,NYAMONYE,3=Youth Groups,,11,13,0,6,FP AND MALARIA IN PREGNANCY,0,0,25,0,25,0
140BCD02-EA9D-4E52-A188-BCB1B8420856,MSK=2,16/05/2013,BUSIA,BUMALA H/C,2=Womens Group Meetings,,5,9,0,0,F/P,0,0,0,0,0,0
